ID,text,ckpt,quant,compile,offload,vae,fast,lowres,temporal,Overall Peak VRAM alloc (MB),Overall Peak VRAM reserved (MB),Diffusion Peak VRAM alloc (MB),Diffusion Peak VRAM reserved (MB),Text Peak VRAM alloc (MB),Total Seconds,tSSIM,tLPIPS,CLIP sim,motion_verdict,decision,visual_notes
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-0__fast-steps-0__lowres-0__temporal-sub-0,original,base,none,0,none,0,0,0,0,13602.5,14010.0,13602.5,14010.0,,10.5221,0.825673,0.023638,0.304573,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,base даёт больше реального движения волос/лица
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-0__fast-steps-0__lowres-0__temporal-sub-1,original,base,none,0,none,0,0,0,1,13602.6,13992.0,13602.6,13992.0,,4.5327,0.977508,0.002943,0.302637,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-0__fast-steps-0__lowres-1__temporal-sub-0,original,base,none,0,none,0,0,1,0,13602.6,13992.0,13602.6,13992.0,,4.5075,0.90849,0.032307,0.309643,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется"
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-0__fast-steps-0__lowres-1__temporal-sub-1,original,base,none,0,none,0,0,1,1,13602.6,13992.0,13602.6,13992.0,,2.8564,0.987314,0.014808,0.305877,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным"
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-0__fast-steps-1__lowres-0__temporal-sub-0,original,base,none,0,none,0,1,0,0,13602.5,14010.0,13602.5,14010.0,,6.8237,0.845387,0.018642,0.304918,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,base даёт больше реального движения волос/лица
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-0__fast-steps-1__lowres-0__temporal-sub-1,original,base,none,0,none,0,1,0,1,13602.6,13992.0,13602.6,13992.0,,3.3783,0.974026,0.003376,0.303952,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-0__fast-steps-1__lowres-1__temporal-sub-0,original,base,none,0,none,0,1,1,0,13602.6,13992.0,13602.6,13992.0,,3.3649,0.902452,0.038472,0.307318,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется"
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-0__fast-steps-1__lowres-1__temporal-sub-1,original,base,none,0,none,0,1,1,1,13602.6,13992.0,13602.6,13992.0,,2.1016,0.98623,0.01576,0.304799,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным"
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-1__fast-steps-0__lowres-0__temporal-sub-0,original,base,none,0,none,1,0,0,0,13602.5,14010.0,13602.5,14010.0,,8.6524,0.825673,0.023638,0.304573,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,base даёт больше реального движения волос/лица; VAE tiling визуально и по памяти на 512 почти не изменил результат
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-1__fast-steps-0__lowres-0__temporal-sub-1,original,base,none,0,none,1,0,0,1,13602.6,13992.0,13602.6,13992.0,,4.1805,0.977508,0.002943,0.302637,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; VAE tiling визуально и по памяти на 512 почти не изменил результат
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-1__fast-steps-0__lowres-1__temporal-sub-0,original,base,none,0,none,1,0,1,0,13602.6,13992.0,13602.6,13992.0,,4.3842,0.90849,0.032307,0.309643,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; VAE tiling визуально и по памяти на 512 почти не изменил результат"
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-1__fast-steps-0__lowres-1__temporal-sub-1,original,base,none,0,none,1,0,1,1,13602.6,13992.0,13602.6,13992.0,,2.8698,0.987314,0.014808,0.305877,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; temporal subsample/interpolation сглаживает и делает ролик более статичным; VAE tiling визуально и по памяти на 512 почти не изменил результат"
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-1__fast-steps-1__lowres-0__temporal-sub-0,original,base,none,0,none,1,1,0,0,13602.5,14010.0,13602.5,14010.0,,6.486,0.845387,0.018642,0.304918,очень заметное движение; точно не застыло,визуально годится по движению; смотреть память,base даёт больше реального движения волос/лица; VAE tiling визуально и по памяти на 512 почти не изменил результат
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-1__fast-steps-1__lowres-0__temporal-sub-1,original,base,none,0,none,1,1,0,1,13602.6,13992.0,13602.6,13992.0,,3.3238,0.974026,0.003376,0.303952,движение слабое; выглядит почти статично,не брать: слишком статично для требования «не застыло»,base даёт больше реального движения волос/лица; temporal subsample/interpolation сглаживает и делает ролик более статичным; VAE tiling визуально и по памяти на 512 почти не изменил результат
text-original__ckpt-base__q-none__compile-0__offload-none__vae-tiling-1__fast-steps-1__lowres-1__temporal-sub-0,original,base,none,0,none,1,1,1,0,13602.6,13992.0,13602.6,13992.0,,4.7577,0.902452,0.038472,0.307318,движение заметное; не застыло,визуально годится по движению; смотреть память,"base даёт больше реального движения волос/лица; lowres 384→512: лицо мягче/мыльнее, но движение сохраняется; VAE tiling визуально и по памяти на 512 почти не изменил результат"
